node,clustering_coeff
83bfd32f757fd096a69c2fbc6567a3ee365636a616fdfa30b64c63956a1c249b,0
5e521ad3213d3fdaf12f2e8a303f7e709e505d56712aad89852e35b85a4a7df8,0
1aac4e9644d46b66a5512b211db0e2f9d0f2299ba2447f1fcd008a08412f3783,0
8ff336682eea6a0e537812b9d3516d686dfc0e5bf727edccb768faa96117e1cc,0
8dc59f9c4784dff2ef5a21fc178a93f2a18c7100d2015e1ef1e6f3ae7e404eec,0
8fd567478a47eaf629d1d0f336954d22a3a2dc802a329f788ed02586ffa19502,0
0e3fdd3ff9da55f4729e42580c2d9579d8134eaa76e7e21c3f59beed938afcd9,0
8948bfaecc195a6e1313c5bd1383d3ae8cfcc288514af9aa312bd133be8ef90f,0
5e0bc9ff581c0797611db2a494f7644e6af84c99bef8482e2fe29c9e0193e1d0,0
b119a5ceaa02f9452dfe2f024a553e3e553ba91a3ab383d03d26bfa37c725b6a,0
595f0fe5f900c203a84fdd9b44edf4e9c6ff3cc79fbc2db38d7fe112e6a985a5,0
3de51d8c733472eabfd8a7e505a0b48300754248c8e29ad61fde11d056b485c1,0
5724a3deaf65daf1edd566f263baa8aa141199824cfb73684005ed8d1853a473,0
cf4d499b47191be9a06209dba6561efe3e5b288b7dc3ade5d3dfcd45654aa133,0
427cf5302282d205072aa04011a25b193427b1a4d68ef3b2bb957ed9a04b19ad,0
a782662df188910132a2476dfeadd57d56f4dc05842c7776de5476c5bb7108cd,0
0507abb2d497c6d1fb9556050cabd2ee858c1622b095c9429ceda526e1d49034,0
2c3ce72eae4abe13bf69784e0f0847043c84d082b1e2de84dce72677f513774f,0
0baf9a4e63f2512780d9cbf61ad0c106b663613d8270109e3432f6d7210e1d6b,0
ad8c866616d25fb697fc370c8f8e5ee4bc160f73f54db1ab3e72a70287cc719f,0
83a539ae772f91de180f6eb6bd7169a84e007c4bbff8ba2f27eefd765e58c4ef,0
24c86bce268f7288ccb8d2c1bf8f81260bfdd21019ac974a725a78db719ac8d0,0
a7161a1325f6182a18ff86316e35913378757ef8788665415c4bf8ef2a4d3b68,0
9f203ba555fdcc7aaf762466f22b9efd6e9598eb1d989ad62f9e4eeb53da4db7,0
495fa070c7ed7bdc646f6325cf54f65d96f02ba5e373530ead10d66d24dae57e,0
0d133bed8b837733624ed9194c6ca4daf4ad3d7cb1b8ed7901a37f5c061696a5,0
f27f9d93e9e0e1c414966a74b579cdadd352c4144ba2ba1cbe8df8bb916429a0,0
530ea88385881849c40bd9f116cea76e28441d2b8f9e8e9cb66bb9975168170d,0
ba33c9987bf471fd647cc7e6448f732b5d1d061bf9ed48d4f0d3cf428f1188da,0
2d3fa255f1a764c96c4eb48a5744bc2fb76a02e889db95457486fb4c71c0b081,0
6f77ab4b8e7986bc209a1a635f1e423092cc45e392a6587119709be460c0f577,0
5772c43d218083cae76839d023bbc7034c98b38a370949845fac40de51ce5062,0
2f3eb7accff70a55c8579fd43aec8be92d9c45b62e4a4e787fdbca43749a3b17,0
1a8e8fe84328a328e670b3a6044bfb905b56782ddb165a06f09b94c69576a28b,0
f4cba5db593721a25fd97d170d5cea3e6d5460b4f2098e23879e59e124db0cef,0
b65d634d235eec00d11cbda569f28deb88b1ecb8629a8da1a639c9a82146cd58,0
1c90da1a99a5ec41dda69c8503fe403c3090abe687f9b268bc815cdc91598700,0
4bfcef69345bb55f9ce85434e9a5210c93e43834f2e7c39eafb272ae82962c72,0
f42070e60eee3bdd3a41fb84ed84a85c124672f37bb04912b95476f2d9f84862,0
bf1b8e34e95bc764072b8f847657612e666aa0353fe81e9ba381528074c69781,0
9b38981a606d7e624f27c3819c097bd70c1430e6fb0c74eb046209f061a97f79,0
9df45c777a541a2ff3a194eed154ccf81f8676fca2d1a5eb45c3b8fdd3b816ad,0
f94d5fce3c9d014dc506be07c23877f478375294309698b8d08e48aa0418441b,0
4b09bd88a1e4b209ca3e83bae4f3fed41f8fe1baf8a8985c1f1f64624bbb9faa,0
8592b044f3e1c81dedb6058ece0e64086a5f1d146920a7dba5c813e60ff0a432,0
532ebe6b6efb4e77915760a06c1bbf0df9614aa08a31d1e3a95acd5a8285ad5e,0
a9bc6e89203c82b4dd0945ec3556c4c5b6f8363c69825180d260b52dba4f6e99,0
a5113da595daaa6609a6a4fb3439aa5d043770702e5255904f35e57aa0d2dd33,0
dd53657cdd37248f172050037a9668f427efd6fe15fb4f775b524b22583db54c,0
771dcf74c4bf19534eac76657cc5d713f0b85e124f6c6f5f9d7900353bbdba1f,0
ffaf09293158ffa437839fbccb23cfe9b39f9f24cc288620dbd15a6d8e3dd0ab,0
73adc5403ebcb312d523c36be72f799281d298d5bc9a24a658dc65f3f78212ed,0
9f7aa9c9201bd13e8340841a14ee389dcdcc1644faf8cf3c45aebc22c20c0c06,0
eb705b5004fb555325c7aaf2b5389a4c898be3d2a1b760a5c24c8e28405205ba,0
b05f48b0f024d7296882e23e29ce7425fa209c81b26f02d93dfebba6e5daa185,0
b028839b034604cd1f97c1419d238f06454cbf97eadcd7e7ed1dcd7ff826196b,0
eacc999ea1c23293d3161f3f44d53fae6a065189e0968254b6a8c1aed9f9f313,0
50e894195762ebad82ce29a2a98fa3ddb58f95119ee7e066377d0d67afcd6349,0
e46260a58135569830fc37ab780e1c2f9f9b10aa2dae809b58f6fdd5e2578dba,0
f78a2cbbd899064604a5ddc8e086a6ff0ca36a1e143a8aee7368bc9c7ceaa6a9,0
5fe8eed1fddd7f985806f12f1587a85c6139e12546757b644b013ad30b481c6b,0
7c5f3d92d0344d3972f23fce116be77060eb91f18278fd45756f712701e9d268,0
b01544bd33aa0befa7aff1b09c9c964428cfe8ab280d1990b1f7e728e3907c0b,0
665550c4b2c15eaddfbbd9410ef0b43ff53d932c95298f60a1504d0ccb5c94f8,0
7b6dc970ff6ef8edeae5ffa2b1becbd77139fed4c7508d304058f059a2f48dea,0
6a0d51590d8a135c9d0f75b8c376331500687cc84d91ec5ae951d9a61dddbcc4,0
a074a7ed24bc17adfdc29307e65b537b037ee963703543ae3434aed4e6678da2,0
3445791a97d9ffa988f8a1615b9bf0477d4a9c3e1a9b9dde7c18142c6dca32e4,0
b7819075396613fdab97a05b09952f755cd9940ddd5fe95ca5933feaf3155ec1,0
867fe070d02be525804bf33b3849da4ec10d902b5073ec174877e40d9c898aad,0
3147b1ad009763573f99ea5debe8ae532e2ed4545dd6b05f6615e8f6f946b2b9,0
e4ea72d894c7f1fd5d92e269ffd426abecb16131f9607e039e7e32111231669e,0
5e13637883555abc457f2127eb42d72092766207fea4c3ffce43c2f0e8acf465,0
47723f124a99db3916aa2317f726545ee4d2f108c7c6ceab4bd87bddeff162e3,0
f8f303433985917df58a91fe6de9bc8258718c387f1440fc2ab31e34eb4cfca9,0
77ae0baed783df4128e5da9713d340b5670c2908876e50f3a68e9bbfd0044a05,0
3f01484f6ac756506794237d6fa34eefc7c30d8105f4fbfa18b56dc6fd536190,0
b8b7ef8f4db6c1a65201c345f68a5797c1f8853e85e8e7a7dcb465c50d681f1e,0
903b19260e5c2c31608a48be5bb15cc90468576691fa41c57ed2f1e796119150,0
5f8d095d5506e99794dff4ee935a722cdaed1f175ae546194585f8a6bd29a7a6,0
8ded94bf88f25569da16e540e4904a3eeffb81b794d1d810f04458c032abaa1e,0
